ar,am,hy,bn,bg,my,zh,da,nl,et,fi,fr,ka,de,el,gu,ht,he,hi,hu,is,id,it,ja,kn,km,ko,lo,lv,lt,ml,mr,ne,no,or,ps,fa,pl,pt,pa,ro,ru,es,sr,sd,si,sl,sv,tl,ta,te,th,tr,ur,ug,vi
هزة أرضية,የመሬት መንቀጥቀጥ,երկրաշարժ,ভূমিকম্প,земетресение,ငလျင်,地震,Jordskælv,Aardbeving,maavärin,Maanjäristys,Tremblement de terre,Მიწისძვრა,Erdbeben,Σεισμός,ભૂકંપ,tranbleman tè,רעידת אדמה,भूकंप,Földrengés,jarðskjálfti,Gempa bumi,Terremoto,地震,ಭೂಕಂಪ,គ្រោះរញ្ជួយដី,지진,ແຜ່ນດິນໄຫວ,zemestrīce,žemės drebėjimas,ഭൂമികുലുക്കം,भूकंप,भूकम्प,Jordskjelv,ଭୂମିକମ୍ପ,زلزلې,زمين لرزه,Trzęsienie ziemi,Tremor de terra,ਭੂਚਾਲ,Cutremur,землетрясение,Terremoto,земљотрес,زلزلو,භූමිකම්පාව,potres,Jordbävning,Lindol,பூகம்ப,భూకంపం,แผ่นดินไหว,Deprem,زلزلہ,يەر تەۋرەش,Động đất
رعشه,ነውጥ,սարսուռ,কম্পন,треперене,တုန်ခါ,震,Rysten,Tremor,värisemine,Vapina,Tremblement,Თრთოლა,Tremor,Τρόμος,કંપન,tranbleman,רַעַד,भूकंप के झटके,Remegés,skjálfti,Getaran,Tremore,身震い,ನಡುಕ,រញ្ជួយដី,떨림,Tremor,trīsas,drebulys,ഭൂചലനം,या भूकंपाचा धक्का,कम्पन,tremor,Tremor,رپو,لرزش,Drżenie,Tremor,ਭੂਚਾਲ,tremur,Тремор,Temblor,тремор,کاتي,භූ,tremor,Darrning,yanig,நடுக்கம்,ప్రకంపనం,อาการสั่น,titreme,زلزلے,Tremor,Rung chuyen
فيضان,የጥፋት ውኃ,ջրհեղեղ,বন্যা,наводнение,ရေကြီးခြင်း,洪水,Flood,Overstroming,üleujutus,Tulva,Inonder,Flood,Flut,Πλημμύρα,પૂર,inondasyon,הצפה,बाढ़,Árvíz,flóð,Banjir,Alluvione,洪水,ಪ್ರವಾಹ,ទឹកជំនន់,홍수,ນ້ໍາຖ້ວມ,Plūdi,potvynis,ഫ്ലഡ്,पूर,बाढी,Oversvømmelse,ବନ୍ଯା,د سيلاب,سیل,Powódź,Inundar,ਪਰਲੋ,Potop,Наводнение,Inundación,поплава,ٻوڏ,ගංවතුර,poplav,Översvämning,baha,வெள்ளம்,వరద,น้ำท่วม,Sel,سیلاب,кәлкүн,lũ
كارثة,አደጋ,աղետ,বিপর্যয়,бедствие,ဘေးအန္တရာယ်,灾难,Katastrofe,Ramp,õnnetus,Katastrofi,Catastrophe,კატასტროფა,Katastrophe,Καταστροφή,હોનારત,Dezas,אסון,आपदा,Katasztrófa,Disaster,Bencana,Disastro,災害,ದುರಂತದ,គ្រោះមហន្តរាយ,재앙,ໄພພິບັດ,nelaime,Nelaimė,ദുരന്ത,आपत्ती,प्रकोप,Katastrofe,ବିପତ୍ତି,د ناورین,فاجعه,Katastrofa,Desastre,ਆਫਤ,Dezastru,Катастрофа,Desastre,Катастрофа,آفت,ආපදා,Nesreča,Katastrof,sakuna,அனர்த்த,విపత్తు,ภัยพิบัติ,afet,مصیبت,ئاپەت,Thảm họa
إخلاء,ማስለቀቅ,էվակուացիա,অপসারণ,евакуация,ထွက်ခွါသွားစေခြင်း,疏散,Evakuering,Evacuatie,evakueerimine,Evakuointi,Évacuation,ევაკუაცია,Evakuierung,Κένωση,ઇવેક્યુએશન,evakyasyon,פינוי,निकास,Evakuálás,brottflutningur,Pengungsian,Evacuazione,退避,ಇವ್ಯಾಕ್ಯುವೇಶನ್,ការជម្លៀសចេញ,소개,ການຍົກຍ້າຍ,evakuācija,evakuacija,ഒഴിപ്പിക്കല്,खाली,निकासी,Evakuering,ତ୍ବାଗ କରଣ,Evacuation,تخلیه,Ewakuacja,Evacuação,ਤਨਕਾਸ,Evacuare,опорожнение,Evacuación,евакуација,روزانو,බේරාගැනීමේ,evakuacija,Evakuering,ebakwasyon,காலி,తరలింపు,การอพยพ,tahliye,انخلا,эвакуация,tản cư
بعد الصدمة,Aftershock,aftershock,আফটারশক,Вторичен трус,ငလျင်,余震,Aftershock,Naschok,aftershock,aftershock,Aftershock,aftershock,Aftershock,Μετασειμική δόνηση,અનુવર્તી આંચકો,replik,אחרי שוק,सदमे के बाद,Aftershock,Aftershock,Setelah terkejut,Dopo lo shock,余震,ಆಫ್ಟರ್ಶಾಕ್,រញ្ជួយ,여진,ຄື້ນສັ່ນສະເທືອນ,aftershock,aftershock,വൈകിയിരുന്നു,Aftershock,Aftershock,Aftershock,Aftershock,Aftershock,پس لرزه,Po szoku,Após o embate,Aftershock,După șoc,толчок после землетрясения,Aftershock,афтерсхоцк,Aftershock,Aftershock,Aftershock,Aftershock,Aftershock,உயிர்சேதமோ,అనంతర ప్రకంపనం,ระทึก,artçı şok,آفٹرشاکس,Aftershock,Dư chấn
الفيضانات,ጎርፍ,լցվել,বন্যা,наводнение,ရေကြီး,洪水,oversvømmelser,overstroming,üleujutus,tulviminen,Inondation,დატბორილი,Überschwemmung,Πλημμύρα,પૂર,inondasyon,שִׁיטָפוֹן,बाढ़,Árvíz,flóð,Banjir,Allagamento,冠水,ಪ್ರವಾಹ,ទឹកជំនន់,홍수,ນ້ໍາຖ້ວມ,plūdi,Potvynis,വെള്ളപ്പൊക്കം,पूर येणे ही,बाढी,flooding,ଅବପ୍ରବାହ,سيلابونو,جاری شدن سیل,Powódź,inundação,ਹੜ੍ਹ,Inundare,затопление,inundación,поплава,ڪيترا,ජල ගැලීම්,poplave,Översvämning,Pagbaha,வெள்ளம்,వరదలు,น้ำท่วม,Su baskını,سیلاب,كەلكۈن,lũ lụt
إعصار,ኃይለኛ አዉሎ ነፉስ,տարափ,ঘূর্ণিঝড়,торнадо,လပှေ,龙卷风,Tornado,Tornado,tornaado,Tornado,Tornade,Tornado,Tornado,Ανεμοστρόβιλος,ટોર્નાડો,toubiyon,טוֹרנָדוֹ,बवंडर,Tornádó,Tornado,Angin topan,Tornado,竜巻,ಸುಂಟರಗಾಳಿ,ព្យុះកំបុតត្បូង,폭풍,Tornado,viesuļvētra,tornadas,ചുഴലിക്കാറ്റ്,तुफानी,तूफान,Tornado,ଘୂର୍ଣ୍ଣିବାତ୍ଯା,د بادبوړکۍ خبرتيا,گردباد,Tornado,Tornado,ਬਵੰਡਰ,Tornadă,Торнадо,Tornado,торнадо,سڪيء,ටෝනාඩෝ,Tornado,Tornado,buhawi,டொர்னாடோ,సుడిగాలి,พายุทอร์นาโด,Kasırga,ٹورنیڈو,боран,Lốc xoáy
إطلاق النار,እሳት,կրակ,আগুন,пожар,မီး,火,Ild,Brand,tulekahju,Antaa potkut,Feu,Fire,Feuer,Φωτιά,આગ,Ponpye,אֵשׁ,आग,Tűz,Fire,Api,Fuoco,火,ಫೈರ್,ភ្លើង,불,ໄຟ,Uguns,Ugnis,തീ,फायर,आगो,Brann,ଅଗ୍ନି,د اور,آتش,Ogień,Incêndio,ਅੱਗ,Foc,Огонь,Fuego,пожар,باھ,ගිනි,Fire,Brand,Apoy,தீ,ఫైర్,ไฟ,Ateş,آگ,ئوت,Ngọn lửa
حريق هائل,Wildfire,Wildfire,আলেয়া,опустошителен огън,Wildfire,磷火,Wildfire,wildvuur,Kulutuli,kulo,Incendies,Wildfire,Wildfire,Υγρό πύρ,Wildfire,dife Sovaj,Wildfire,जंगल की आग,Futótűz,Wildfire,Kebakaran,Wildfire,山火事,ವೈಲ್ಡ್ ಫೈರ್,ភ្លើងឆេះព្រៃ,들불,Wildfire,skrejoša uguns,Laukinė ugnis,ഭാഗമായ Wildfire,अत्यंत ज्वालाग्राही पदार्थ,वाइलडभाएर,Skogbrann,Wildfire,تحديدونه,مادهقابل اشتعال,Pożar,Incêndios,wildfire,Foc salbatic,Wildfire,Fuego fatuo,Пожар,Wildfire,ලැව්ගින්නක්,Wildfire,Löpeld,napakalaking sunog,காட்டுத்தீ,వైల్డ్ ఫైర్లో,ไฟป่า,Orman yangını,جنگل کی آگ,Wildfire,Wildfire
